,formacion,lat,lon,captura,ruta
0,2022-05-05 10.29.15,-34.70264813888889,-55.25492475,2022:05:05 10:29:17,/Fotos/2022-05-05 10.29.15.jpg
1,2022-05-05 10.56.46,-34.70235441666667,-55.254833194444444,2022:05:05 10:56:47,/Fotos/2022-05-05 10.56.46.jpg
2,2022-05-05 16.24.24,-34.372337333333334,-55.05276869444444,2022:05:05 16:24:25,/Fotos/2022-05-05 16.24.24.jpg
3,2022-05-05 16.26.26,-34.372299194444444,-55.05271147222222,2022:05:05 16:26:27,/Fotos/2022-05-05 16.26.26.jpg
4,2022-05-05 17.44.27,-34.37551877777778,-55.08345030555556,2022:05:05 17:44:28,/Fotos/2022-05-05 17.44.27.jpg
5,2022-05-06 12.22.10,-34.66831969444444,-54.15199277777778,2022:05:06 12:22:11,/Fotos/2022-05-06 12.22.10.jpg
6,2022-05-06 12.22.25,-34.66831969444444,-54.15199277777778,2022:05:06 12:22:26,/Fotos/2022-05-06 12.22.25.jpg
7,2022-05-06 12.25.54,-34.66833875,-54.15198133333333,2022:05:06 12:25:54,/Fotos/2022-05-06 12.25.54.jpg
8,2022-05-06 12.26.19,-34.66833875,-54.15195083333333,2022:05:06 12:26:20,/Fotos/2022-05-06 12.26.19.jpg
9,2022-05-06 12.26.36,-34.66833875,-54.15195083333333,2022:05:06 12:26:36,/Fotos/2022-05-06 12.26.36.jpg
10,2022-05-06 12.30.14,-34.668422694444445,-54.151813499999996,2022:05:06 12:30:15,/Fotos/2022-05-06 12.30.14.jpg
11,2022-05-06 12.30.37,-34.66848752777778,-54.151741027777774,2022:05:06 12:30:38,/Fotos/2022-05-06 12.30.37.jpg
12,2022-05-06 13.26.07,-34.66693877777777,-54.151061999999996,2022:05:06 13:26:07,/Fotos/2022-05-06 13.26.07.jpg
13,2022-05-06 13.35.51,-34.66626355555555,-54.15084836111111,2022:05:06 13:35:52,/Fotos/2022-05-06 13.35.51.jpg
14,2022-05-06 13.39.11,-34.66627883333333,-54.150791166666664,2022:05:06 13:39:12,/Fotos/2022-05-06 13.39.11.jpg
15,2022-05-06 15.43.47,-34.38100433333334,-54.49169538888889,2022:05:06 15:43:48,/Fotos/2022-05-06 15.43.47.jpg
16,2022-05-06 16.05.23,-34.38281630555556,-54.489250166666665,2022:05:06 16:05:25,/Fotos/2022-05-06 16.05.23.jpg
17,2022-05-07 10.08.23,-34.291053749999996,-55.267818444444444,2022:05:07 10:08:25,/Fotos/2022-05-07 10.08.23.jpg
18,2022-05-07 10.11.53,-34.290775277777776,-55.26704025,2022:05:07 10:11:54,/Fotos/2022-05-07 10.11.53.jpg
19,2022-05-07 10.14.33,-34.291484805555555,-55.266544333333336,2022:05:07 10:14:34,/Fotos/2022-05-07 10.14.33.jpg
20,2022-05-07 12.12.39,-34.39367675,-55.2598915,2022:05:07 12:12:39,/Fotos/2022-05-07 12.12.39.jpg
21,2022-05-07 12.40.14,-34.39376447222222,-55.25977325,2022:05:07 12:40:15,/Fotos/2022-05-07 12.40.14.jpg
22,2022-05-07 13.21.53,-34.39762113888889,-55.260036444444445,2022:05:07 13:21:54,/Fotos/2022-05-07 13.21.53.jpg
23,2022-05-08 10.27.40,-34.895770999999996,-56.24819183333334,2022:05:08 10:27:41,/Fotos/2022-05-08 10.27.40.jpg
24,2022-05-08 10.35.14,-34.89575955555556,-56.24822613888889,2022:05:08 10:35:16,/Fotos/2022-05-08 10.35.14.jpg
25,2022-05-08 11.07.55,-34.895687083333335,-56.24823377777778,2022:05:08 11:07:56,/Fotos/2022-05-08 11.07.55.jpg
26,2022-05-08 12.19.56,-34.87645719444445,-56.33482358333334,2022:05:08 12:19:57,/Fotos/2022-05-08 12.19.56.jpg
27,2022-05-08 12.46.34,-34.873081194444445,-56.337478611111116,2022:05:08 12:46:35,/Fotos/2022-05-08 12.46.34.jpg
28,2022-05-08 12.48.43,-34.873008722222224,-56.33752058333334,2022:05:08 12:48:44,/Fotos/2022-05-08 12.48.43.jpg
29,2022-05-08 12.49.04,-34.873008722222224,-56.33753202777778,2022:05:08 12:49:05,/Fotos/2022-05-08 12.49.04.jpg
30,2022-05-08 12.55.59,-34.872840861111115,-56.33784863888889,2022:05:08 12:56:01,/Fotos/2022-05-08 12.55.59.jpg
31,2022-05-08 12.57.39,-34.87309644444444,-56.33763122222222,2022:05:08 12:57:40,/Fotos/2022-05-08 12.57.39.jpg
